id,categoria,nome,indirizzo,citta,cap,regione,paese,latitudine,longitudine,sito_web,telefono,osm_id,osm_tipo,valutazione,numero_recensioni,ha_sito_web,ha_telefono,stato_arricchimento,stato_outreach,nome_contatto,ruolo_contatto,email_contatto,data_ultimo_contatto,data_prossima_azione,artista_assegnato,tipo_avatar,mercato_target,note,connessione_calda,creato_il,aggiornato_il
29,Galleria d'Arte,Centro Romano di Fotografia e Cinema,Via di Pietralata 157,Roma,,Lazio,Italy,41.9263543,12.5376397,https://centroromanodifotografia.com/,+39 324 557 9488,7141015840,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
13,Galleria d'Arte,Centro Sociale Anziani Casal Bruciato,Via Luigi Cesana 30,Roma,00159,Lazio,Italy,41.9089597,12.5531326,,,3239148488,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
76,Galleria d'Arte,Centro culturale Elsa Morante,,Roma,,Lazio,Italy,41.8123116,12.4691719,,,570326519,way,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
70,Galleria d'Arte,"Centro culturale San Basilio ""Aldo Fabrizi""",,Roma,,Lazio,Italy,41.9376633,12.5846004,http://www.centroaldofabrizi.roma.it/,,192688917,way,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
37,Galleria d'Arte,Cina in Italia,Piazza dei Campani 9,Roma,00185,Lazio,Italy,41.8953396,12.5142227,https://cinainitalia.com/,,9612625638,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
72,Galleria d'Arte,Circolo Ricreativo Caracciolo,Via Francesco Caracciolo 23a,Roma,,Lazio,Italy,41.9090923,12.4515361,,,243309748,way,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
28,Galleria d'Arte,Defrag,Via delle Isole Curzolane 75,Roma,00139,Lazio,Italy,41.9487346,12.5311663,http://www.associazionedefrag.com,+39 388 1019855,7003769651,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
4,Galleria d'Arte,Ex 51,,Roma,,Lazio,Italy,41.9027061,12.4364877,,,1214263933,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
2,Galleria d'Arte,Ex-Cinema Volturno,,Roma,,Lazio,Italy,41.9044625,12.4995062,,,383407978,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
58,Galleria d'Arte,Exibart,,Roma,,Lazio,Italy,41.8839173,12.5339707,,,12874938906,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
5,Galleria d'Arte,F.A.D. room,Via della Reginella 12,Roma,00186,Lazio,Italy,41.8932906,12.4773895,http://www.fadroom.it/,+39 06 6833795,1553116334,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
53,Galleria d'Arte,FUTURISM & CO Art Gallery,Via Mario de' Fiori 68,Roma,,Lazio,Italy,41.9059817,12.4810382,,,12020531704,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
38,Galleria d'Arte,Fortezza Est,Via Francesco Laparelli 62,Roma,00176,Lazio,Italy,41.8797262,12.5394759,,,9801345228,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
75,Galleria d'Arte,Forum Austriaco di Cultura,Viale Bruno Buozzi 113,Roma,00197,Lazio,Italy,41.9189687,12.4785977,https://www.austriacult.roma.it/,,361161025,way,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
51,Galleria d'Arte,Gagosian,Via Francesco Crispi 16,Roma,00187,Lazio,Italy,41.9033963,12.4856484,,,12009401566,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
7,Galleria d'Arte,Galleria Colonna,Via della Pilotta 17,Roma,,Lazio,Italy,41.8974483,12.4848450,https://www.galleriacolonna.it/,,1649776329,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
55,Galleria d'Arte,Galleria Vittoria,,Roma,,Lazio,Italy,41.9092422,12.4787826,https://www.galleriavittoria.com/,,12598119015,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
31,Galleria d'Arte,Il Mitreo - Arte contemporanea,Via Marino Mazzacurati 61,Roma,00148,Lazio,Italy,41.8500918,12.4129511,http://www.mitreoiside.com/,+390665678224,7658165072,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
25,Galleria d'Arte,Institut Français Italia,Piazza Farnese 67,Roma,00186,Lazio,Italy,41.8947365,12.4710586,https://www.institutfrancais.it/roma,,5763673455,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
65,Galleria d'Arte,Istituto Giapponese di Cultura,,Roma,,Lazio,Italy,41.9186779,12.4792359,,,36972535,way,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
62,Galleria d'Arte,Istituto Svizzero,Via Ludovisi 48,Roma,,Lazio,Italy,41.9063729,12.4876342,https://www.istitutosvizzero.it/,+39 06 420421,13440418491,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
40,Galleria d'Arte,La Vaccheria,Via Giovanni l'Eltore 35,Roma,,Lazio,Italy,41.8134820,12.4580242,,,10018581203,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
19,Galleria d'Arte,La casa del parco - Valle dei Casali,Via del Casaletto 400,Roma,00151,Lazio,Italy,41.8624312,12.4370369,,,4297742539,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
61,Galleria d'Arte,Larte Sacra,Piazza di Sant'Agostino,Roma,,Lazio,Italy,41.9004821,12.4742011,,,13397487301,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
48,Galleria d'Arte,Level Art Gallery,Via Acqui 6,Roma,,Lazio,Italy,41.8780482,12.5160769,,,11523011093,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
27,Galleria d'Arte,Lorcan O'Neill Gallery,,Roma,,Lazio,Italy,41.8935364,12.4730019,,,6802315285,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
35,Galleria d'Arte,Magazzini Popolari Casalbertone - MPC,Via Baldassarre Orero 61,Roma,00159,Lazio,Italy,41.8980491,12.5383398,,,9408880675,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
59,Galleria d'Arte,Mancini - Vicollo Della Campana,Vicolo della Campana,Roma,,Lazio,Italy,41.9024612,12.4746943,,,13397449001,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
12,Galleria d'Arte,Mattatoio,Piazza Orazio Giustiniani 4,Roma,00153,Lazio,Italy,41.8761617,12.4730895,https://www.mattatoioroma.it/,+390639967500,3218242360,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
63,Galleria d'Arte,Metro Core Circolo ARCI,Via Guglielmo Albimonte 18c,Roma,00176,Lazio,Italy,41.8909840,12.5329763,https://linktr.ee/metrocore,,13634510101,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
56,Galleria d'Arte,Monogramma,,Roma,,Lazio,Italy,41.9091749,12.4788580,https://www.monogramma.it/,,12598119016,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
34,Galleria d'Arte,Musja,Via dei Chiavari 7,Roma,,Lazio,Italy,41.8951559,12.4742642,https://musja.it,,9329571853,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
73,Galleria d'Arte,Officine Farneto,Via dei Monti della Farnesina 77,Roma,00194,Lazio,Italy,41.9383755,12.4514522,https://www.officinefarneto.it/,+39 06 8339 6746,310496948,way,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
11,Galleria d'Arte,Officine Fotografiche,Via Giuseppe Libetta 1,Roma,00154,Lazio,Italy,41.8647080,12.4809347,http://www.officinefotografiche.org,+39 06 97274721,3106146429,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
69,Galleria d'Arte,Oratorio del Gonfalone,Via del Gonfalone 32a,Roma,00186,Lazio,Italy,41.8973919,12.4663403,https://www.oratoriogonfalone.eu/,,127942179,way,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
79,Galleria d'Arte,Palazzo della Civiltà del Lavoro,,Roma,,Lazio,Italy,41.8367058,12.4653215,,,1559654,relation,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
49,Galleria d'Arte,Polo Culturale Montespaccato,Via Gaetano Mazzoni,Roma,00166,Lazio,Italy,41.9067873,12.3932717,,,11887066496,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
64,Galleria d'Arte,Rhinoceros,Via dei Cerchi 19-23,Roma,00186,Lazio,Italy,41.8890630,12.4825363,https://www.rhinocerosroma.com/,+393601034177,13708984102,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
14,Galleria d'Arte,Rialto,Via di Sant'Ambrogio 4,Roma,00186,Lazio,Italy,41.8933949,12.4777078,,,3242620877,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
44,Galleria d'Arte,Richard Saltoun,Via Margutta 48/a,Roma,00187,Lazio,Italy,41.9085647,12.4796626,,+39 06 86678388,10567217338,node,,,No,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
45,Galleria d'Arte,Roberto Di Costanzo,Via Giulia 111,Roma,00186,Lazio,Italy,41.8981000,12.4665156,,,11033864774,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
54,Galleria d'Arte,Scula Arti Ornamentali,Via di San Giacomo 11,Roma,,Lazio,Italy,41.9079703,12.4788077,,,12043233056,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
41,Galleria d'Arte,Snodo Mandrione,,Roma,,Lazio,Italy,41.8810733,12.5336551,https://www.snodomandrione.net/home/,+393276744460,10108047384,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
9,Galleria d'Arte,Spazio Anarchico 19 Luglio,Via Rocco Da Cesinale 18,Roma,,Lazio,Italy,41.8650534,12.4902548,,,1775040128,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
20,Galleria d'Arte,Spazio Diamante,Via Prenestina 230b,Roma,00176,Lazio,Italy,41.8921506,12.5392755,,,4660196067,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
17,Galleria d'Arte,Spazio Eventi Tirso,Via Tirso 14,Roma,,Lazio,Italy,41.9186211,12.4982595,http://www.spazioeventitirso.it/,+39 366 3044785,4045508882,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
74,Galleria d'Arte,Spazio Impero,Via di Acqua Bullicante,Roma,00177,Lazio,Italy,41.8836477,12.5428993,https://eventionstage.com/,,335133675,way,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
39,Galleria d'Arte,Spazio Recherche,Viale dell'Acquedotto Alessandrino 44,Roma,00177,Lazio,Italy,41.8748830,12.5433922,,,9838347437,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
47,Galleria d'Arte,Spazio Treccani Arte,Piazza dell'Enciclopedia Italiana,Roma,00186,Lazio,Italy,41.8946455,12.4775492,,,11233802634,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
6,Galleria d'Arte,Tavola Rotonda,Via Nizza 72,Roma,00198,Lazio,Italy,41.9123343,12.5003052,https://www.tavolarotonda.org/,,1602352449,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
23,Galleria d'Arte,Teatro a vista,Via Antonio Coppi 8d,Roma,00179,Lazio,Italy,41.8700771,12.5153633,https://www.teatroavista.com/,+39 338 4861926,5239420129,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
15,Galleria d'Arte,Tevere Art Gallery,Via di Santa Passera 25,Roma,00146,Lazio,Italy,41.8575711,12.4603925,https://www.tevereartgallery.net/,+39065561290,3874392113,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
52,Galleria d'Arte,Veneziani Arte Srl,Via Sistina 56,Roma,,Lazio,Italy,41.9050191,12.4851194,,,12011747454,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
80,Galleria d'Arte,Visiva,,Roma,,Lazio,Italy,41.8813388,12.5275115,,,3292555,relation,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
43,Galleria d'Arte,WeGil,Largo Ascianghi 5,Roma,00153,Lazio,Italy,41.8846619,12.4720736,,,10288559994,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
3,Galleria d'Arte,Wunderkammern,Via Gabrio Serbelloni 124,Roma,00176,Lazio,Italy,41.8773320,12.5406341,,,564286703,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
22,Galleria d'Arte,dolceVita Gallery,Via Palermo 41,Roma,00184,Lazio,Italy,41.8985671,12.4916751,http://dolcevita-gallery.com,,5236700644,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
32,Galleria d'Arte,medina,Via Angelo Poliziano 6,Roma,00184,Lazio,Italy,41.8925502,12.5013067,,,8387137790,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
50,Galleria d'Arte,postO,Via Castelguidone 3,Roma,,Lazio,Italy,41.8987086,12.5393091,https://postocentroculturale.wordpress.com/,,11908513442,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
312,Libreria,Ace Cafè,Via Gasperina 126,Roma,00173,,Italy,41.8320249,12.5991525,,+393318718082,7765253678,node,,,No,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
363,Libreria,Alegre libreria,,Pisa,,,Italy,41.8894131,12.5270541,,,13456146627,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
264,Libreria,Almost Corner Bookshop,Via del Moro 45,Roma,00153,,Italy,41.8906706,12.4706672,,,3836026357,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 12:34
344,Libreria,Altroquando,"Via del Governo Vecchio 82,83",Pisa,,,Italy,41.8978704,12.4718089,https://altroquando.com,+39066879825,11991869332,node,,,Sì,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
267,Libreria,Anomalia,Via dei Campani 73,Roma,00185,,Italy,41.8950592,12.5156646,,+3906491335,3889176952,node,,,No,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
298,Libreria,Antica Libreria Cascianelli,,Pisa,,,Italy,41.8999931,12.4724385,,,6392725385,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
311,Libreria,Arethusa,Viale della Primavera 101,Roma,00172,,Italy,41.8836436,12.5610716,https://arethusalibri.it,+39062412310,7711271241,node,,,Sì,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
279,Libreria,Articoliper belle arti,,Pisa,,,Italy,41.8974403,12.4785386,,,4792951821,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
335,Libreria,Aurelia Books,,Pisa,,,Italy,41.8816361,12.4258836,,,11748913462,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
323,Libreria,Aviolibri,,Pisa,,,Italy,41.8959753,12.5148339,https://aviolibri.com,,10103054458,node,,,Sì,No,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
328,Libreria,Bancolibri Cinecittà,Piazza dei Cavalieri del Lavoro 8,Roma,00173,,Italy,41.8597572,12.5728591,https://bancolibri.it/store/bancolibri-cinecitta,,11384524908,node,,,Sì,No,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
352,Libreria,Book-Cycle,Via Ciro da Urbino 17,Pisa,00176,,Italy,41.8780455,12.5411328,https://book-cycle.it,,12905680701,node,,,Sì,No,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
245,Libreria,Bookstore Palazzo delle Esposizioni,Via Milano 15-17,Pisa,,,Italy,41.8991955,12.4901195,,+390648913361,1710679145,node,,,No,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
241,Libreria,Borri Books,Piazza dei Cinquecento,Roma,00185,,Italy,41.9007353,12.5009459,https://borribooks.com,+39064828422,1552841170,node,,,Sì,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
236,Libreria,Cartolibreria,Viale delle Medaglie d'Oro 15,Roma,,,Italy,41.9101039,12.4471258,,+390639731796,1062331416,node,,,No,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
297,Libreria,Cartolibreria di Marrakech,Via dei Pioppi 10b,Roma,00172,,Italy,41.8772999,12.5679119,,+390623219348,6310120141,node,,,No,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
289,Libreria,Cento Incroci,Via delle Palme 158,Pisa,00172,,Italy,41.8902818,12.5704826,https://centoincroci.regione.lazio.it,,5384442607,node,,,Sì,No,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
321,Libreria,Colosseum Shop,,Pisa,,,Italy,41.8906584,12.4914862,,,9780170491,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
307,Libreria,Compro Libri,,Pisa,,,Italy,41.9140141,12.4647587,,,7119022817,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
332,Libreria,Diddodo,via Berengario 24,Pisa,,,Italy,41.9104039,12.5225589,https://diddodo.it/microlibreria,,11455464076,node,,,Sì,No,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
310,Libreria,Eco di Fata,Via Michelangelo Tamburini 10;12,Pisa,,,Italy,41.8663572,12.4928842,,+39065124531,7273866555,node,,,No,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
292,Libreria,Edicola,,Pisa,,,Italy,41.9179778,12.4387490,,,5486072167,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
340,Libreria,Edizioni Paoline,Piazza di San Giovanni in Laterano 18,Roma,00184,,Italy,41.8877149,12.5064672,,+390670474267,11795518206,node,,,No,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
343,Libreria,Eldorado Comics,Via Pietro Blaserna 18,Roma,00146,,Italy,41.8655200,12.4699403,,+393403719134,11975362898,node,,,No,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
263,Libreria,Equi Libri,Via degli Equi 14,Roma,00185,,Italy,41.8969258,12.5124926,,+39064469991,3835629868,node,,,No,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
359,Libreria,Feltrinelli,,Pisa,,,Italy,41.9322071,12.5200509,,,13345676636,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
346,Libreria,Galactus,Via Gualdo Tadino 27,Roma,00181,,Italy,41.8768062,12.5279345,https://galactus.it/tuscolana,+390694378100,12139760957,node,,,Sì,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
268,Libreria,Giufà,Via degli Aurunci 38,Roma,00185,,Italy,41.8963192,12.5149742,https://libreriagiufa.it,+390644361406,4181782647,node,,,Sì,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:44
336,Libreria,Giunti al Punto,,Pisa,,,Italy,41.8818349,12.5600888,,,11772119558,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
355,Libreria,Il Giardino Incartato,Via del Pigneto 303c,Roma,00176,,Italy,41.8859780,12.5375230,https://ilgiardinoincartato.com,+390696045437,13001355051,node,,,Sì,Sì,partially_enriched,not_contacted,,,,,,,,,,,2026-04-21 12:34,2026-04-21 17:51
